md_path,title,region,year
.\2022\BlackHat-2022-EU\BlackHat-Arsenal-2022-EU.md,Node Security Shield - A Lightweight RASP for NodeJS Application,EU,2022
.\2022\BlackHat-2022-EU\BlackHat-Arsenal-2022-EU.md,DNS Reaper,EU,2022
.\2023\BlackHat-2023-Asia\BlackHat-Arsenal-2023-Asia.md,Mr. SIP: SIP-Based Audit and Attack Tool,ASIA,2023
.\2023\BlackHat-2023-Asia\BlackHat-Arsenal-2023-Asia.md,Faceless - Deepfake Detection with Faceless,ASIA,2023
.\2023\BlackHat-2023-Asia\BlackHat-Arsenal-2023-Asia.md,Exegol,ASIA,2023
.\2023\BlackHat-2023-Asia\BlackHat-Arsenal-2023-Asia.md,tty2web - Share your terminal as a web application (bind/reverse),ASIA,2023
.\2023\BlackHat-2023-EU\BlackHat-Arsenal-2023-EU.md,FalconHound,EU,2023
.\2023\BlackHat-2023-USA\BlackHat-Arsenal-2023-USA.md,"Emulating Any HTTP Software as a Honeypot with HASH: A Deceptive Defense Against Cyberattacks
Emulating Any HTTP Software as a Honeypot with HASH: A Deceptive Defense Against Cyberattacks",USA,2023
.\2023\BlackHat-2023-USA\BlackHat-Arsenal-2023-USA.md,Cloud Sniper,USA,2023
.\2023\BlackHat-2023-USA\BlackHat-Arsenal-2023-USA.md,BlueMap: An Interactive Exploitation Toolkit for Azure,USA,2023
.\2023\BlackHat-2023-USA\BlackHat-Arsenal-2023-USA.md,Exegol,USA,2023
.\2023\BlackHat-2023-USA\BlackHat-Arsenal-2023-USA.md,ICS Forensics Tool,USA,2023
.\2024\BlackHat-Arsenal-2024-EU.md,Cloud Console Cartographer: Tapping Into Mapping > Slogging Thru Logging,EU,2024
.\2025\BlackHat-Arsenal-2025-ASIA.md,RedRays ABAP Code Scanner & SAP Threat Modeling Builder,ASIA,2025
